Element_Name,Abbreviation,Level,BASE,GOE_-5,GOE_-4,GOE_-3,GOE_-2,GOE_-1,GOE_+1,GOE_+2,GOE_+3,GOE_+4,GOE_+5
No Hold Element,NHE,2 sB,1.75,-0.88,-0.70,-0.53,-0.35,-0.18,0.18,0.35,0.53,0.70,0.88
No Hold Element,NHE,2 s1,2.00,-1.00,-0.80,-0.60,-0.40,-0.20,0.20,0.40,0.60,0.80,1.00
No Hold Element,NHE,B s2,2.25,-1.13,-0.90,-0.68,-0.45,-0.23,0.23,0.45,0.68,0.90,1.13
No Hold Element,NHE,3,2.50,-1.25,-1.00,-0.75,-0.50,-0.25,0.25,0.50,0.75,1.00,1.25
No Hold Element,NHE,1 s2,2.75,-1.38,-1.10,-0.83,-0.55,-0.28,0.28,0.55,0.83,1.10,1.38
No Hold Element,NHE,3 sB,3.00,-1.50,-1.20,-0.90,-0.60,-0.30,0.30,0.60,0.90,1.20,1.50
No Hold Element,NHE,3 s1,3.25,-1.63,-1.30,-0.98,-0.65,-0.33,0.33,0.65,0.98,1.30,1.63
No Hold Element,NHE,2 s2,3.50,-1.75,-1.40,-1.05,-0.70,-0.35,0.35,0.70,1.05,1.40,1.75
No Hold Element,NHE,B s3,4.00,-2.00,-1.60,-1.20,-0.80,-0.40,0.40,0.80,1.20,1.60,2.00
No Hold Element,NHE,4 sB,5.00,-2.50,-2.00,-1.50,-1.00,-0.50,0.50,1.00,1.50,2.00,2.50
No Hold Element,NHE,4 s1,5.25,-2.63,-2.10,-1.58,-1.05,-0.53,0.53,1.05,1.58,2.10,2.63
No Hold Element,NHE,1 s3,5.50,-2.75,-2.20,-1.65,-1.10,-0.55,0.55,1.10,1.65,2.20,2.75
No Hold Element,NHE,2 s3,5.75,-2.88,-2.30,-1.73,-1.15,-0.58,0.58,1.15,1.73,2.30,2.88
No Hold Element,NHE,B s4,6.00,-3.00,-2.40,-1.80,-1.20,-0.60,0.60,1.20,1.80,2.40,3.00
