Element_Name,Abbreviation,Category,Sequence/Level,BASE,GOE_-5,GOE_-4,GOE_-3,GOE_-2,GOE_-1,GOE_+1,GOE_+2,GOE_+3,GOE_+4,GOE_+5
Serpentine Step Sequence Style B,SeStB,Required Element,Base,4.5,-3.38,-2.7,-2.03,-1.35,-0.68,0.68,1.35,2.03,2.7,3.38
Serpentine Step Sequence Style B,SeSt1,Required Element,Level 1,6.96,-5.22,-4.18,-3.13,-2.09,-1.04,1.04,2.09,3.13,4.18,5.22
Serpentine Step Sequence Style B,SeSt2,Required Element,Level 2,7.46,-5.22,-4.18,-3.13,-2.09,-1.04,1.04,2.09,3.13,4.18,5.22
Serpentine Step Sequence Style B,SeSt3,Required Element,Level 3,8.2,-5.22,-4.18,-3.13,-2.09,-1.04,1.04,2.09,3.13,4.18,5.22
Serpentine Step Sequence Style B,SeSt4,Required Element,Level 4,8.96,-5.22,-4.18,-3.13,-2.09,-1.04,1.04,2.09,3.13,4.18,5.22
Choreographic Character Step Sequence,ChSt1,Choreographic Element,Level 1,1.1,-1.1,-0.88,-0.66,-0.44,-0.22,0.83,1.66,2.49,3.32,4.15
Choreographic Rhythm Sequence,ChRS1,Choreographic Element,Level 1,2,-2,-1.6,-1.2,-0.8,-0.4,1.5,3,4.5,6,7.5
Choreographic Sliding Movements,ChSl1,Choreographic Element,Level 1,1.1,-1.1,-0.88,-0.66,-0.44,-0.22,0.83,1.66,2.49,3.32,4.15
Choreographic Spinning Movement,ChSp1,Choreographic Element,Level 1,1.1,-1.1,-0.88,-0.66,-0.44,-0.22,0.83,1.66,2.49,3.32,4.15
Choreographic Twizzling Movement,ChTw1,Choreographic Element,Level 1,1.1,-1.1,-0.88,-0.66,-0.44,-0.22,0.83,1.66,2.49,3.32,4.15
