Element_Name,Abbreviation,Category,Sequence/Level,BASE,GOE_-5,GOE_-4,GOE_-3,GOE_-2,GOE_-1,GOE_+1,GOE_+2,GOE_+3,GOE_+4,GOE_+5
Starlight Waltz (w/ KP),SW2Sq4,PATTERN DANCE,2nd Sequence 4,10.00,-5.25,-4.20,-3.15,-2.10,-1.05,1.05,2.10,3.15,4.20,5.25
Kilian (w/ KP),KI1SqB,PATTERN DANCE,1st Sequence B,2.50,-1.88,-1.50,-1.13,-0.75,-0.38,0.38,0.75,1.13,1.50,1.88
Kilian (w/ KP),KI1Sq1,PATTERN DANCE,1st Sequence 1,3.50,-2.63,-2.10,-1.58,-1.05,-0.53,0.53,1.05,1.58,2.10,2.63
Kilian (w/ KP),KI1Sq2,PATTERN DANCE,1st Sequence 2,4.00,-2.63,-2.10,-1.58,-1.05,-0.53,0.53,1.05,1.58,2.10,2.63
Kilian (w/ KP),KI1Sq3,PATTERN DANCE,1st Sequence 3,4.50,-2.63,-2.10,-1.58,-1.05,-0.53,0.53,1.05,1.58,2.10,2.63
Kilian (w/ KP),KI1Sq4,PATTERN DANCE,1st Sequence 4,5.00,-2.63,-2.10,-1.58,-1.05,-0.53,0.53,1.05,1.58,2.10,2.63
Kilian (w/ KP),KI2SqB,PATTERN DANCE,2nd Sequence B,2.50,-1.88,-1.50,-1.13,-0.75,-0.38,0.38,0.75,1.13,1.50,1.88
Kilian (w/ KP),KI2Sq1,PATTERN DANCE,2nd Sequence 1,3.50,-2.63,-2.10,-1.58,-1.05,-0.53,0.53,1.05,1.58,2.10,2.63
Kilian (w/ KP),K12Sq2,PATTERN DANCE,2nd Sequence 2,4.00,-2.63,-2.10,-1.58,-1.05,-0.53,0.53,1.05,1.58,2.10,2.63
Kilian (w/ KP),K12Sq3,PATTERN DANCE,2nd Sequence 3,4.50,-2.63,-2.10,-1.58,-1.05,-0.53,0.53,1.05,1.58,2.10,2.63
Kilian (w/ KP),K12Sq4,PATTERN DANCE,2nd Sequence 4,5.00,-2.63,-2.10,-1.58,-1.05,-0.53,0.53,1.05,1.58,2.10,2.63
Kilian (w/ KP),K13SqB,PATTERN DANCE,3rd Sequence B,2.50,-1.88,-1.50,-1.13,-0.75,-0.38,0.38,0.75,1.13,1.50,1.88
Kilian (w/ KP),KI3Sq1,PATTERN DANCE,3rd Sequence 1,3.50,-2.63,-2.10,-1.58,-1.05,-0.53,0.53,1.05,1.58,2.10,2.63
Kilian (w/ KP),K13Sq2,PATTERN DANCE,3rd Sequence 2,4.00,-2.63,-2.10,-1.58,-1.05,-0.53,0.53,1.05,1.58,2.10,2.63
Kilian (w/ KP),K13Sq3,PATTERN DANCE,3rd Sequence 3,4.50,-2.63,-2.10,-1.58,-1.05,-0.53,0.53,1.05,1.58,2.10,2.63
Kilian (w/ KP),K13Sq4,PATTERN DANCE,3rd Sequence 4,5.00,-2.63,-2.10,-1.58,-1.05,-0.53,0.53,1.05,1.58,2.10,2.63
Kilian (w/ KP),KI4SqB,PATTERN DANCE,4th Sequence B,2.50,-1.88,-1.50,-1.13,-0.75,-0.38,0.38,0.75,1.13,1.50,1.88
Kilian (w/ KP),KI4Sq1,PATTERN DANCE,4th Sequence 1,3.50,-2.63,-2.10,-1.58,-1.05,-0.53,0.53,1.05,1.58,2.10,2.63
Kilian (w/ KP),KI4Sq2,PATTERN DANCE,4th Sequence 2,4.00,-2.63,-2.10,-1.58,-1.05,-0.53,0.53,1.05,1.58,2.10,2.63
Kilian (w/ KP),KI4Sq3,PATTERN DANCE,4th Sequence 3,4.50,-2.63,-2.10,-1.58,-1.05,-0.53,0.53,1.05,1.58,2.10,2.63
Kilian (w/ KP),KI4Sq4,PATTERN DANCE,4th Sequence 4,5.00,-2.63,-2.10,-1.58,-1.05,-0.53,0.53,1.05,1.58,2.10,2.63
Quickstep (w/ KP),QS1SqB,PATTERN DANCE,1st Sequence B,5.00,-3.75,-3.00,-2.25,-1.50,-0.75,0.75,1.50,2.25,3.00,3.75
Quickstep (w/ KP),QS1Sq1,PATTERN DANCE,1st Sequence 1,7.00,-5.25,-4.20,-3.15,-2.10,-1.05,1.05,2.10,3.15,4.20,5.25
Quickstep (w/ KP),QS1Sq2,PATTERN DANCE,1st Sequence 2,8.00,-5.25,-4.20,-3.15,-2.10,-1.05,1.05,2.10,3.15,4.20,5.25
Quickstep (w/ KP),QS1Sq3,PATTERN DANCE,1st Sequence 3,9.00,-5.25,-4.20,-3.15,-2.10,-1.05,1.05,2.10,3.15,4.20,5.25
Quickstep (w/ KP),QS1Sq4,PATTERN DANCE,1st Sequence 4,10.00,-5.25,-4.20,-3.15,-2.10,-1.05,1.05,2.10,3.15,4.20,5.25
Quickstep (w/ KP),QS2SqB,PATTERN DANCE,2nd Sequence B,5.00,-3.75,-3.00,-2.25,-1.50,-0.75,0.75,1.50,2.25,3.00,3.75
Quickstep (w/ KP),QS2Sq1,PATTERN DANCE,2nd Sequence 1,7.00,-5.25,-4.20,-3.15,-2.10,-1.05,1.05,2.10,3.15,4.20,5.25
Quickstep (w/ KP),QS2Sq2,PATTERN DANCE,2nd Sequence 2,8.00,-5.25,-4.20,-3.15,-2.10,-1.05,1.05,2.10,3.15,4.20,5.25
Quickstep (w/ KP),QS2Sq3,PATTERN DANCE,2nd Sequence 3,9.00,-5.25,-4.20,-3.15,-2.10,-1.05,1.05,2.10,3.15,4.20,5.25
Quickstep (w/ KP),QS2Sq4,PATTERN DANCE,2nd Sequence 4,10.00,-5.25,-4.20,-3.15,-2.10,-1.05,1.05,2.10,3.15,4.20,5.25
Finnstep (w/ KP),FS1SqB,PATTERN DANCE,1st Sequence B,5.00,-3.75,-3.00,-2.25,-1.50,-0.75,0.75,1.50,2.25,3.00,3.75
Finnstep (w/ KP),FS1Sq1,PATTERN DANCE,1st Sequence 1,7.00,-5.25,-4.20,-3.15,-2.10,-1.05,1.05,2.10,3.15,4.20,5.25
Finnstep (w/ KP),FS1Sq2,PATTERN DANCE,1st Sequence 2,8.00,-5.25,-4.20,-3.15,-2.10,-1.05,1.05,2.10,3.15,4.20,5.25
Finnstep (w/ KP),FS1Sq3,PATTERN DANCE,1st Sequence 3,9.00,-5.25,-4.20,-3.15,-2.10,-1.05,1.05,2.10,3.15,4.20,5.25
Finnstep (w/ KP),FS1Sq4,PATTERN DANCE,1st Sequence 4,10.00,-5.25,-4.20,-3.15,-2.10,-1.05,1.05,2.10,3.15,4.20,5.25
Finnstep (w/ KP),FS2SqB,PATTERN DANCE,2nd Sequence B,5.00,-3.75,-3.00,-2.25,-1.50,-0.75,0.75,1.50,2.25,3.00,3.75
Finnstep (w/ KP),FS2Sq1,PATTERN DANCE,2nd Sequence 1,7.00,-5.25,-4.20,-3.15,-2.10,-1.05,1.05,2.10,3.15,4.20,5.25
